@relation wordANDdictionary

@attribute "-5" numeric
@attribute "-4" numeric
@attribute "-3" numeric
@attribute "-2" numeric
@attribute "-1" numeric
@attribute "0" numeric
@attribute "1" numeric
@attribute "2" numeric
@attribute "3" numeric
@attribute "4" numeric
@attribute "5" numeric
@attribute "role" numeric
@attribute "hard" numeric
@attribute "multiplayer" numeric
@attribute "room" numeric
@attribute "try" numeric
@attribute "element" numeric
@attribute "probably" numeric
@attribute "think" numeric
@attribute "watch" numeric
@attribute "tell" numeric
@attribute "day" numeric
@attribute "pokmon" numeric
@attribute "die" numeric
@attribute "journey" numeric
@attribute "back" numeric
@attribute "use" numeric
@attribute "many" numeric
@attribute "stab" numeric
@attribute "impostor" numeric
@attribute "arent" numeric
@attribute "common" numeric
@attribute "mechanic" numeric
@attribute "secret" numeric
@attribute "across" numeric
@attribute "instead" numeric
@attribute "year" numeric
@attribute "least" numeric
@attribute "often" numeric
@attribute "apex" numeric
@attribute "etc" numeric
@attribute "strategy" numeric
@attribute "another" numeric
@attribute "crewmate" numeric
@attribute "classic" numeric
@attribute "might" numeric
@attribute "way" numeric
@attribute "play" numeric
@attribute "decide" numeric
@attribute "far" numeric
@attribute "older" numeric
@attribute "great" numeric
@attribute "hunt" numeric
@attribute "various" numeric
@attribute "parent" numeric
@attribute "genre" numeric
@attribute "content" numeric
@attribute "skill" numeric
@attribute "portal" numeric
@attribute "im" numeric
@attribute "become" numeric
@attribute "fun" numeric
@attribute "head" numeric
@attribute "extremely" numeric
@attribute "uk" numeric
@attribute "dragon" numeric
@attribute "swearing" numeric
@attribute "power" numeric
@attribute "sound" numeric
@attribute "create" numeric
@attribute "without" numeric
@attribute "much" numeric
@attribute "mobile" numeric
@attribute "redemption" numeric
@attribute "focus" numeric
@attribute "whether" numeric
@attribute "youve" numeric
@attribute "weapon" numeric
@attribute "time" numeric
@attribute "alien" numeric
@attribute "sword" numeric
@attribute "able" numeric
@attribute "present" numeric
@attribute "something" numeric
@attribute "galaxy" numeric
@attribute "actually" numeric
@attribute "face" numeric
@attribute "fall" numeric
@attribute "ink" numeric
@attribute "ios" numeric
@attribute "choose" numeric
@attribute "ive" numeric
@attribute "firstperson" numeric
@attribute "handle" numeric
@attribute "read" numeric
@attribute "real" numeric
@attribute "gear" numeric
@attribute "reason" numeric
@attribute "worth" numeric
@attribute "worse" numeric
@attribute "mature" numeric
@attribute "original" numeric
@attribute "party" numeric
@attribute "developer" numeric
@attribute "drink" numeric
@attribute "hide" numeric
@attribute "high" numeric
@attribute "download" numeric
@attribute "social" numeric
@attribute "scene" numeric
@attribute "fallout" numeric
@attribute "kid" numeric
@attribute "match" numeric
@attribute "check" numeric
@attribute "quite" numeric
@attribute "let" numeric
@attribute "night" numeric
@attribute "graphic" numeric
@attribute "purchase" numeric
@attribute "three" numeric
@attribute "inappropriate" numeric
@attribute "past" numeric
@attribute "title" numeric
@attribute "character" numeric
@attribute "though" numeric
@attribute "definitely" numeric
@attribute "allow" numeric
@attribute "incredible" numeric
@attribute "among" numeric
@attribute "enjoy" numeric
@attribute "include" numeric
@attribute "censor" numeric
@attribute "voice" numeric
@attribute "family" numeric
@attribute "release" numeric
@attribute "give" numeric
@attribute "board" numeric
@attribute "bring" numeric
@attribute "competitive" numeric
@attribute "complete" numeric
@attribute "pretty" numeric
@attribute "old" numeric
@attribute "amazing" numeric
@attribute "life" numeric
@attribute "come" numeric
@attribute "coop" numeric
@attribute "challenge" numeric
@attribute "child" numeric
@attribute "everyone" numeric
@attribute "evil" numeric
@attribute "light" numeric
@attribute "choice" numeric
@attribute "nintendo" numeric
@attribute "talk" numeric
@attribute "together" numeric
@attribute "since" numeric
@attribute "campaign" numeric
@attribute "update" numeric
@attribute "anyone" numeric
@attribute "favorite" numeric
@attribute "space" numeric
@attribute "setting" numeric
@attribute "isnt" numeric
@attribute "add" numeric
@attribute "age" numeric
@attribute "movie" numeric
@attribute "other" numeric
@attribute "already" numeric
@attribute "legend" numeric
@attribute "art" numeric
@attribute "view" numeric
@attribute "boss" numeric
@attribute "move" numeric
@attribute "enough" numeric
@attribute "simply" numeric
@attribute "strong" numeric
@attribute "fighter" numeric
@attribute "little" numeric
@attribute "sim" numeric
@attribute "switch" numeric
@attribute "friend" numeric
@attribute "alcohol" numeric
@attribute "store" numeric
@attribute "story" numeric
@attribute classification {P, PE}

@data
0,0,5,26,0,1913,0,45,21,0,0,0,0,0,0,3,4,1,1,1,0,3,0,0,0,3,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,2,1,0,0,6,0,24,2,2,1,1,0,0,0,1,1,1,0,0,1,4,0,0,0,0,0,0,1,3,2,1,4,1,0,0,2,0,3,0,0,0,0,4,8,0,0,0,0,7,2,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,30,0,0,0,0,0,0,3,1,0,7,0,2,0,0,1,2,0,1,1,0,1,3,1,0,0,0,0,5,0,1,0,2,0,0,2,2,2,1,1,2,0,0,2,1,0,2,1,1,0,0,0,1,3,0,0,1,0,1,1,0,2,0,0,0,0,2,0,0,0,1,0,0,2,0,30,0,P
0,1,3,46,0,1532,0,36,11,1,0,0,0,0,0,2,2,2,1,0,0,1,0,1,0,1,2,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,5,0,0,2,3,12,0,0,0,3,0,1,1,3,1,1,0,0,1,2,0,1,0,0,0,0,0,2,1,2,4,0,0,0,0,7,5,0,0,0,0,4,4,1,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,20,0,0,0,0,0,0,1,2,0,9,0,1,0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,3,0,0,2,5,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,1,1,0,2,0,0,2,2,0,1,1,0,0,1,0,0,1,0,0,1,1,0,19,0,P
0,4,9,37,0,2337,0,46,19,4,0,1,5,0,0,1,0,0,2,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,6,1,3,0,0,1,1,0,3,1,6,8,0,0,1,6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,2,0,0,0,1,0,0,7,0,1,0,0,3,1,1,1,1,0,0,1,0,0,0,4,1,2,0,4,0,0,2,1,0,0,0,0,0,0,0,0,0,2,6,0,1,0,1,1,1,0,0,3,1,1,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,1,0,0,1,3,2,1,0,0,0,1,0,4,0,0,1,0,3,2,4,3,0,0,2,0,3,1,0,2,1,0,0,0,3,0,1,0,1,2,14,0,0,1,2,P
0,5,21,80,0,2741,0,49,14,0,0,1,0,0,1,4,1,0,1,2,2,0,0,0,0,3,5,1,1,0,1,1,0,0,0,0,0,0,2,0,0,0,4,0,2,5,4,7,1,1,0,4,2,0,0,0,0,2,1,1,0,4,1,0,0,8,0,2,1,2,3,3,0,0,1,1,2,8,4,1,0,2,0,4,0,2,1,2,0,0,2,0,2,1,0,4,4,1,0,0,0,0,2,1,0,1,0,0,1,1,0,0,1,1,3,4,0,2,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,2,4,0,3,0,0,0,1,0,0,5,1,2,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,2,1,1,2,0,6,1,2,0,0,0,3,1,0,2,0,2,1,P
0,14,23,77,0,2156,0,80,21,1,0,0,3,3,0,4,1,1,0,1,0,2,0,0,0,3,4,5,1,2,4,1,1,1,1,1,1,0,1,0,0,0,3,3,1,3,6,10,0,2,0,2,6,2,0,3,2,3,0,0,1,8,0,0,0,0,0,1,0,1,0,7,0,0,0,1,1,4,5,1,1,0,0,2,0,0,0,18,0,0,5,0,1,0,0,0,0,1,0,1,0,2,12,0,1,0,0,0,1,0,0,0,1,1,1,3,0,0,0,5,0,0,4,3,5,0,0,0,8,1,1,0,0,1,3,2,1,1,1,2,0,1,0,0,1,10,1,0,2,0,0,0,0,1,1,3,0,4,1,0,2,1,1,2,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,12,0,0,0,P
0,19,39,209,0,6963,0,175,62,2,0,1,2,4,3,7,0,0,3,3,7,3,0,3,1,6,10,3,0,0,0,1,4,0,5,2,12,3,4,0,0,5,5,0,6,10,15,27,1,3,0,6,3,0,0,6,2,4,8,0,2,5,8,1,0,3,0,2,1,3,3,15,0,5,5,6,5,5,19,7,15,2,1,2,0,3,3,4,0,0,2,0,3,1,9,3,3,5,3,0,0,6,0,3,0,2,3,0,0,2,0,1,6,5,6,8,1,0,0,0,0,1,3,6,7,2,2,4,3,4,1,0,0,3,8,7,0,2,1,2,1,4,1,5,14,3,2,1,3,0,0,3,0,2,2,7,2,6,1,0,1,0,3,5,5,2,1,2,3,2,2,3,4,6,6,1,1,5,3,1,1,0,0,16,P
0,4,16,49,0,2197,0,58,27,0,0,0,2,1,0,1,0,1,4,0,1,1,0,0,3,3,0,4,0,0,0,0,0,1,0,0,4,1,0,0,0,0,3,0,3,2,7,5,0,1,0,2,5,0,0,1,0,1,0,0,3,0,0,0,0,7,0,2,0,0,0,1,0,0,3,2,5,0,7,0,1,1,2,5,0,3,0,1,0,0,0,0,0,0,1,0,0,4,1,0,0,7,4,1,0,0,0,1,0,1,22,0,0,3,3,2,1,0,0,0,0,0,3,8,1,0,0,1,1,0,0,0,0,0,1,2,0,3,1,0,0,1,0,3,2,1,2,0,1,0,1,3,0,0,3,1,0,2,0,0,1,1,1,1,5,0,2,1,0,2,0,1,0,0,1,1,0,2,0,0,0,0,0,2,P
3,43,130,414,0,19492,0,427,177,15,1,2,8,14,9,7,11,4,13,5,8,15,10,4,9,19,15,27,0,0,1,1,7,20,11,4,29,4,3,0,3,4,10,0,13,6,54,70,6,8,1,16,6,1,1,10,4,4,13,1,23,19,6,5,1,5,0,5,10,11,11,33,0,7,6,11,7,14,67,12,6,3,3,11,3,8,4,8,0,0,7,5,12,2,3,10,10,16,4,3,0,34,7,11,0,8,12,0,0,6,8,6,6,0,5,13,7,4,2,9,0,8,7,63,18,1,17,15,11,1,11,0,7,3,25,20,0,14,5,7,0,9,6,12,36,5,10,3,10,15,5,8,11,3,6,13,14,5,6,8,10,1,8,14,4,8,2,5,12,8,3,11,11,9,8,4,8,12,10,1,12,0,0,43,P
0,1,13,47,0,2122,0,25,11,0,0,0,0,0,0,4,3,0,0,3,0,1,0,1,0,2,4,1,0,0,0,0,0,1,0,4,5,0,1,0,0,4,2,0,2,1,2,9,3,3,0,3,0,1,0,0,0,2,0,0,1,1,0,0,7,3,0,1,0,0,2,0,0,0,1,1,2,0,4,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,1,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,2,0,0,2,0,3,21,1,2,0,0,5,0,1,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,1,1,1,0,1,1,0,0,3,1,1,0,1,1,1,0,0,0,0,0,P
0,5,40,94,0,3746,0,60,49,3,0,2,1,0,4,0,3,0,1,0,0,1,0,0,0,2,4,3,0,0,1,0,3,0,3,1,4,0,1,0,0,2,5,0,6,4,9,8,8,1,0,1,0,9,0,2,5,2,0,0,3,3,0,0,8,21,0,5,0,0,3,5,0,0,2,4,0,1,8,0,1,2,2,1,0,0,3,0,0,0,9,0,0,0,0,0,0,0,2,0,0,4,4,0,0,1,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,5,15,1,1,3,1,0,0,2,0,0,2,1,9,24,1,1,5,2,2,1,0,2,4,2,0,1,3,0,2,0,0,2,1,3,0,2,0,0,5,2,0,3,0,5,0,11,2,0,0,5,4,1,0,1,1,0,0,0,0,1,2,P
0,4,28,78,0,3312,0,54,25,5,0,2,0,1,1,8,6,0,0,1,0,2,21,2,0,2,6,2,0,0,1,0,0,1,1,1,7,0,0,0,0,0,2,0,2,5,8,13,1,0,0,2,0,0,0,6,4,1,0,0,7,3,0,0,10,10,0,6,0,6,0,2,0,0,0,1,2,0,5,0,11,3,1,0,2,4,4,0,0,0,3,0,0,0,0,2,0,0,1,0,0,3,1,0,0,0,2,0,2,0,0,0,3,1,0,3,0,0,0,0,0,0,0,17,0,0,6,2,1,0,9,0,0,2,0,3,21,7,0,5,0,2,0,4,4,3,3,0,0,0,0,0,1,0,3,0,0,0,0,0,6,4,0,2,1,0,0,1,0,6,0,2,4,2,0,1,1,1,0,1,5,0,0,5,P
0,16,39,94,0,4314,0,81,30,4,0,1,0,0,3,0,3,1,2,2,0,1,0,0,0,3,7,3,0,0,0,0,4,5,3,0,6,4,5,0,0,1,5,0,5,5,7,18,4,1,0,3,1,8,0,1,5,1,0,1,0,2,3,0,1,65,0,2,2,2,6,5,0,0,0,3,1,0,6,0,2,1,0,4,0,2,2,2,0,0,8,0,0,1,0,1,0,3,1,0,0,3,13,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,3,0,2,3,9,2,1,2,1,0,3,0,0,0,3,3,6,31,0,0,3,1,2,0,1,6,5,3,0,2,3,1,0,0,1,6,1,8,0,4,0,1,6,4,2,13,0,2,2,0,4,0,0,2,1,0,0,0,4,0,0,1,0,0,0,P
1,1,21,56,0,3117,0,57,9,2,0,4,0,0,2,4,2,0,2,1,0,1,0,2,0,4,10,3,0,0,0,0,3,1,0,1,5,2,2,0,0,5,6,0,4,1,6,12,5,1,0,2,0,4,0,5,3,0,0,0,7,0,0,2,10,3,0,2,0,0,1,4,0,0,2,1,0,0,13,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,2,0,0,0,2,0,1,0,0,1,0,0,0,4,0,0,0,0,0,1,0,1,1,0,3,0,0,0,0,0,0,4,1,3,19,2,0,3,0,3,0,0,8,0,1,0,1,0,0,0,0,0,2,0,0,2,1,0,4,3,1,3,3,0,1,0,0,2,0,0,5,2,0,1,3,0,0,0,0,0,0,0,P
0,0,0,3,0,163,0,6,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,P
0,12,31,69,0,2501,0,58,24,1,0,12,1,0,0,5,2,0,1,1,1,3,0,0,0,1,0,2,0,0,2,0,0,16,0,0,6,0,0,0,0,0,3,0,6,3,3,8,2,0,0,2,0,0,0,5,1,1,0,0,1,2,1,0,11,0,0,3,0,1,1,2,0,0,0,1,1,0,3,0,0,0,0,0,0,1,1,1,0,0,1,0,0,2,0,0,0,2,1,1,0,3,3,0,0,7,0,0,15,1,0,0,0,0,1,0,7,0,0,2,0,0,2,1,4,0,0,0,1,0,0,0,0,3,1,4,14,2,0,2,0,2,0,1,4,0,1,0,3,0,0,0,0,0,1,1,0,0,0,0,1,1,0,4,1,1,2,0,0,4,0,0,0,1,1,0,0,3,0,1,4,0,0,0,P
